2026-05-18 08:13:14 | ms=0.143 | karta=5 - prehled_db | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:14 | ms=0.170 | karta=15 - top_report | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:14 | ms=0.194 | karta=6 - admin_pobocky | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:14 | ms=0.198 | karta=19 - objednavky_online | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:14 | ms=0.189 | karta=12 - prehledy_grafy | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:14 | ms=0.412 | karta=11 - prehled_smen | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:14 | ms=0.254 | karta=7 - user_setting | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:14 | ms=0.324 | karta=13 - kontrola_trzeb | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:14 | ms=0.252 | karta=8 - uzivatele | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:14 | ms=0.258 | karta=9 - zakaznici | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
2026-05-18 08:13:14 | ms=0.247 | karta=10 - zadani_reportu | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-18 08:13:12 | pobocky custom=1,2,3,4,5,6
