TEST pobocek po tydnech
cas startu: 2026-03-30 17:51:50
rozsah skipWeeks: -284 az 0
pobocky: 1, 2, 3, 4, 5, 6
cyklus: 5
----------------------------------------
skipWeeks=-272 | id_pob=1 | datum_od=2021-01-18T00:00:00.000Z | ma_data=ANO | pocet_hodin=357
skipWeeks=-272 | id_pob=2 | datum_od=2021-01-18T00:00:00.000Z | ma_data=ANO | pocet_hodin=643
skipWeeks=-272 | id_pob=3 | datum_od=2021-01-18T00:00:00.000Z | ma_data=ANO | pocet_hodin=366
skipWeeks=-272 | id_pob=4 | datum_od=2021-01-18T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-272 | id_pob=5 | datum_od=2021-01-18T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-272 | id_pob=6 | datum_od=2021-01-18T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-271 | id_pob=1 | datum_od=2021-01-25T00:00:00.000Z | ma_data=ANO | pocet_hodin=364
skipWeeks=-271 | id_pob=2 | datum_od=2021-01-25T00:00:00.000Z | ma_data=ANO | pocet_hodin=663
skipWeeks=-271 | id_pob=3 | datum_od=2021-01-25T00:00:00.000Z | ma_data=ANO | pocet_hodin=373
skipWeeks=-271 | id_pob=4 | datum_od=2021-01-25T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-271 | id_pob=5 | datum_od=2021-01-25T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-271 | id_pob=6 | datum_od=2021-01-25T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-270 | id_pob=1 | datum_od=2021-02-01T00:00:00.000Z | ma_data=ANO | pocet_hodin=346
skipWeeks=-270 | id_pob=2 | datum_od=2021-02-01T00:00:00.000Z | ma_data=ANO | pocet_hodin=624
skipWeeks=-270 | id_pob=3 | datum_od=2021-02-01T00:00:00.000Z | ma_data=ANO | pocet_hodin=391
skipWeeks=-270 | id_pob=4 | datum_od=2021-02-01T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-270 | id_pob=5 | datum_od=2021-02-01T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-270 | id_pob=6 | datum_od=2021-02-01T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-269 | id_pob=1 | datum_od=2021-02-08T00:00:00.000Z | ma_data=ANO | pocet_hodin=363
skipWeeks=-269 | id_pob=2 | datum_od=2021-02-08T00:00:00.000Z | ma_data=ANO | pocet_hodin=676
skipWeeks=-269 | id_pob=3 | datum_od=2021-02-08T00:00:00.000Z | ma_data=ANO | pocet_hodin=380
skipWeeks=-269 | id_pob=4 | datum_od=2021-02-08T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-269 | id_pob=5 | datum_od=2021-02-08T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-269 | id_pob=6 | datum_od=2021-02-08T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-268 | id_pob=1 | datum_od=2021-02-15T00:00:00.000Z | ma_data=ANO | pocet_hodin=385
skipWeeks=-268 | id_pob=2 | datum_od=2021-02-15T00:00:00.000Z | ma_data=ANO | pocet_hodin=638
skipWeeks=-268 | id_pob=3 | datum_od=2021-02-15T00:00:00.000Z | ma_data=ANO | pocet_hodin=380
skipWeeks=-268 | id_pob=4 | datum_od=2021-02-15T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-268 | id_pob=5 | datum_od=2021-02-15T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-268 | id_pob=6 | datum_od=2021-02-15T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-267 | id_pob=1 | datum_od=2021-02-22T00:00:00.000Z | ma_data=ANO | pocet_hodin=388
skipWeeks=-267 | id_pob=2 | datum_od=2021-02-22T00:00:00.000Z | ma_data=ANO | pocet_hodin=647
skipWeeks=-267 | id_pob=3 | datum_od=2021-02-22T00:00:00.000Z | ma_data=ANO | pocet_hodin=368
skipWeeks=-267 | id_pob=4 | datum_od=2021-02-22T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-267 | id_pob=5 | datum_od=2021-02-22T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-267 | id_pob=6 | datum_od=2021-02-22T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-266 | id_pob=1 | datum_od=2021-03-01T00:00:00.000Z | ma_data=ANO | pocet_hodin=373
skipWeeks=-266 | id_pob=2 | datum_od=2021-03-01T00:00:00.000Z | ma_data=ANO | pocet_hodin=622
skipWeeks=-266 | id_pob=3 | datum_od=2021-03-01T00:00:00.000Z | ma_data=ANO | pocet_hodin=388
skipWeeks=-266 | id_pob=4 | datum_od=2021-03-01T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-266 | id_pob=5 | datum_od=2021-03-01T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-266 | id_pob=6 | datum_od=2021-03-01T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-265 | id_pob=1 | datum_od=2021-03-08T00:00:00.000Z | ma_data=ANO | pocet_hodin=402
skipWeeks=-265 | id_pob=2 | datum_od=2021-03-08T00:00:00.000Z | ma_data=ANO | pocet_hodin=636
skipWeeks=-265 | id_pob=3 | datum_od=2021-03-08T00:00:00.000Z | ma_data=ANO | pocet_hodin=387
skipWeeks=-265 | id_pob=4 | datum_od=2021-03-08T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-265 | id_pob=5 | datum_od=2021-03-08T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-265 | id_pob=6 | datum_od=2021-03-08T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-264 | id_pob=1 | datum_od=2021-03-15T00:00:00.000Z | ma_data=ANO | pocet_hodin=371
skipWeeks=-264 | id_pob=2 | datum_od=2021-03-15T00:00:00.000Z | ma_data=ANO | pocet_hodin=638
skipWeeks=-264 | id_pob=3 | datum_od=2021-03-15T00:00:00.000Z | ma_data=ANO | pocet_hodin=355
skipWeeks=-264 | id_pob=4 | datum_od=2021-03-15T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-264 | id_pob=5 | datum_od=2021-03-15T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-264 | id_pob=6 | datum_od=2021-03-15T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-263 | id_pob=1 | datum_od=2021-03-22T00:00:00.000Z | ma_data=ANO | pocet_hodin=377
skipWeeks=-263 | id_pob=2 | datum_od=2021-03-22T00:00:00.000Z | ma_data=ANO | pocet_hodin=603
skipWeeks=-263 | id_pob=3 | datum_od=2021-03-22T00:00:00.000Z | ma_data=ANO | pocet_hodin=370
skipWeeks=-263 | id_pob=4 | datum_od=2021-03-22T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-263 | id_pob=5 | datum_od=2021-03-22T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-263 | id_pob=6 | datum_od=2021-03-22T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-262 | id_pob=1 | datum_od=2021-03-29T00:00:00.000Z | ma_data=ANO | pocet_hodin=388
skipWeeks=-262 | id_pob=2 | datum_od=2021-03-29T00:00:00.000Z | ma_data=ANO | pocet_hodin=587
skipWeeks=-262 | id_pob=3 | datum_od=2021-03-29T00:00:00.000Z | ma_data=ANO | pocet_hodin=391
skipWeeks=-262 | id_pob=4 | datum_od=2021-03-29T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-262 | id_pob=5 | datum_od=2021-03-29T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-262 | id_pob=6 | datum_od=2021-03-29T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-261 | id_pob=1 | datum_od=2021-04-05T00:00:00.000Z | ma_data=ANO | pocet_hodin=403
skipWeeks=-261 | id_pob=2 | datum_od=2021-04-05T00:00:00.000Z | ma_data=ANO | pocet_hodin=615
skipWeeks=-261 | id_pob=3 | datum_od=2021-04-05T00:00:00.000Z | ma_data=ANO | pocet_hodin=396
skipWeeks=-261 | id_pob=4 | datum_od=2021-04-05T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-261 | id_pob=5 | datum_od=2021-04-05T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-261 | id_pob=6 | datum_od=2021-04-05T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-260 | id_pob=1 | datum_od=2021-04-12T00:00:00.000Z | ma_data=ANO | pocet_hodin=360
skipWeeks=-260 | id_pob=2 | datum_od=2021-04-12T00:00:00.000Z | ma_data=ANO | pocet_hodin=617
skipWeeks=-260 | id_pob=3 | datum_od=2021-04-12T00:00:00.000Z | ma_data=ANO | pocet_hodin=390
skipWeeks=-260 | id_pob=4 | datum_od=2021-04-12T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-260 | id_pob=5 | datum_od=2021-04-12T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-260 | id_pob=6 | datum_od=2021-04-12T00:00:00.000Z | ma_data=NE | pocet_hodin=0
